Title,Region,Type,Rating,Rank
全金属外壳,"英国,美国","剧情,战争",8.6,401
至爱梵高·星空之谜,"英国,波兰","剧情,传记,动画",8.5,402
盗火线,美国,"剧情,动作,犯罪,惊悚",8.6,403
不一样的天空,美国,"剧情,爱情,家庭",8.6,404
黑水,美国,剧情,8.6,405
少年时代,美国,"剧情,家庭",8.5,406
阿郎的故事,中国香港,"剧情,家庭",8.5,407
第九区,"美国,新西兰,加拿大,南非","动作,剧情,科幻,惊悚",8.4,408
穆赫兰道,"法国,美国","剧情,悬疑,惊悚",8.4,409
天狗,中国大陆,剧情,8.8,410
永恒和一日,"法国,意大利,希腊,德国",剧情,9.1,411
小萝莉的猴神大叔,印度,"剧情,喜剧,动作",8.4,412
她,美国,"剧情,爱情,科幻",8.4,413
十二怒汉,美国,"剧情,犯罪",9.3,414
大都会,德国,"剧情,科幻",9.0,415
紫日,中国大陆,"剧情,战争",8.6,416
奇迹,日本,"剧情,家庭",8.8,417
狼的孩子雨和雪,日本,"剧情,动画,奇幻,家庭",8.6,418
走出非洲,美国,"冒险,传记,剧情,爱情",8.7,419
费城故事,美国,"剧情,同性",8.7,420
花火,日本,"剧情,爱情,犯罪,惊悚",8.6,421
年少日记,中国香港,剧情,8.4,422
西线无战事,"德国,美国,英国","剧情,动作,战争",8.5,423
阿Q正传,中国大陆,剧情,8.8,424
莫扎特传,"美国,法国","剧情,传记,音乐",8.7,425
安妮·霍尔,美国,"喜剧,剧情,爱情",8.6,426
黄飞鸿,中国香港,"剧情,动作,武侠,古装",8.4,427
日落大道,美国,"剧情,黑色电影",8.8,428
英雄本色2,中国香港,"剧情,动作,犯罪",8.4,429
秋天的童话,中国香港,"剧情,爱情",8.5,430
头脑特工队2,美国,"剧情,喜剧,动画,奇幻,冒险",8.4,431
孙子从美国来,中国大陆,"剧情,儿童,家庭",8.5,432
从海底出击,西德,"剧情,历史,战争,冒险",9.1,433
老无所依,美国,"犯罪,剧情,惊悚",8.4,434
绿洲,韩国,"剧情,爱情",8.7,435
登堂入室,法国,"剧情,悬疑",8.5,436
哪啊哪啊神去村,日本,"剧情,喜剧",8.5,437
驴得水,中国大陆,"剧情,喜剧",8.3,438
黑社会2：以和为贵,中国香港,"犯罪,剧情,惊悚",8.4,439
卡比利亚之夜,"意大利,法国",剧情,9.1,440
蝴蝶,法国,"剧情,儿童,喜剧",8.6,441
三峡好人,中国大陆,"剧情,爱情",8.4,442
洛奇,美国,"剧情,爱情,运动",8.8,443
金陵十三钗,中国大陆,"剧情,历史,战争",8.3,444
烈日灼心,中国大陆,"剧情,犯罪,悬疑",8.3,445
万物理论,"英国,日本,美国","剧情,传记,爱情",8.4,446
西游记之大圣归来,中国大陆,"剧情,动画,奇幻",8.3,447
卡罗尔,"英国,美国","剧情,爱情,同性",8.4,448
立春,中国大陆,剧情,8.4,449
喋血双雄,中国香港,"动作,犯罪,剧情,惊悚",8.5,450
盗钥匙的方法,日本,"剧情,喜剧",8.5,451
